名前,読み方,4月2日,4月9日,4月23日,4月30日
アダム・ナガイ,ADAM,7,7,10,22
中丸 晏寿,AJU,54,57,64,ー
本荘 晃,AKIRA,51,52,56,ー
オム・スアンカワーテン,AOM,67,72,81,ー
アーチャー・ウイ,ARCHER,20,18,22,36
児島 歩夢,AYUMU.K,75,83,94,ー
篠ヶ谷 歩夢,AYUMU.S,29,30,32,later
小林 千悟,CHISATO,23,23,27,later
市川 大輝,DAIKI.I,66,62,66,ー
加藤 大樹,DAIKI.K,3,2,1,1
カク・ドンミン,DONGMIN,33,35,37,39
末川 瑛太,EITA,83,79,89,ー
金田 栄都,EITO,52,53,57,ー
櫻井 楓真,FUMA,59,59,62,ー
小笠原 ジュゼッペ 慧,GIUSEPPE,18,20,28,later
倉橋 吾槙,GOTEN,11,13,11,20
村松 遼空,HARUKU,74,78,87,ー
髙城 暖人,HARUTO,58,60,70,ー
堀尾 聖,HIJIRI,63,63,55,ー
平島 輝,HIKARU,44,49,53,ー
瑞慶覧 太都,HIROTO,71,76,76,ー
ユ・ヒョンスン,HYEONSEUNG,15,10,8,later
岡田 彪吾,HYUGO,93,75,77,ー
イ・ヒョンジェ,HYUNJAE,21,21,20,later
柳谷 伊冴,ISSA,48,37,19,later
ユン・ジェヨン,JAEYONG,32,33,33,35
ジュアン・ジェイ,JAY,50,45,47,41
丸尾 尋一郎,JINICHIRO,62,61,52,ー
河邊 晟,JOE,101,91,99,ー
シン・ジョンウク,JUNGUK,87,101,93,ー
金安 純正,JUNSEI,40,43,50,43
リュウ・カイチ,KAICHI,68,73,43,later
宇野 海夢,KAIMU,42,42,48,later
多比 奏聖,KANADE,99,93,85,ー
横山 奏夢,KANAME,27,26,21,later
黒﨑 貫汰,KANTA,57,56,69,ー
関 敬次郎,KEIJIRO,98,98,94,ー
黄 敬眞,KEISHIN,69,74,88,ー
髙松 敬祐,KEISUKE,90,96,100,ー
小野 慶人,KEITO,13,15,16,later
西山 賢人,KENTO,96,99,92,ー
釼持 吉成,KINARI,2,1,2,later
河合 晃誠,KOSEI,94,87,75,ー
青沼 昂史朗,KOSHIRO,31,27,26,19
照井 康祐,KOSUKE,9,8,7,2
浅香 孝太郎,KOTARO,26,24,18,21
髙谷 京平,KYOHEI,86,86,59,ー
田中 蒔,MAKI,25,29,30,later
森 明育,MEI,39,41,45,later
山根 武蔵,MUSASHI,65,68,79,ー
土田 央修,OSUKE,14,14,13,10
小清水 蓮,REN.KO,8,12,14,later
堀野 蓮,REN.H,56,50,51,ー
小林 蓮翔,RENTO,55,58,80,ー
チェン・リッキー,RICKEY,38,28,25,later
神元 理丘,RIKU,97,71,65,ー
今江 陸斗,RIKUTO.I,35,36,31,later
鳩場 陸人,RIKUTO.H,84,88,97,ー
甲斐 陸也,RIKUYA,88,97,98,ー
大瀬 凜和,RINTO,46,46,46,later
上野 琉偉,RUI.U,79,100,101,ー
水上 琉偉,RUI.M,61,64,72,ー
飯塚 亮賀,RYOGA,10,11,12,later
石田 亮太,RYOTA,41,38,38,37
岡戸 竜芽,RYUGA,95,84,91,ー
杉山 竜司,RYUJI,22,25,23,11
香月 誠太,SEITA,91,67,71,ー
澤井 星名,SENA,36,40,40,later
オ・シンヘン,SHINHAENG,6,6,5,later
岩城 慎二,SHINJI,73,66,60,ー
宮崎 真佑,SHINSUKE,72,77,86,ー
西﨑 柊,SHU.N,45,44,49,40
山下 柊,SHU.Y,28,31,34,34
パク・シヨン,SIYOUNG,5,5,6,later
松田 颯吾,SOGO,85,81,84,ー
佐藤 碧空,SORA.S,77,82,61,ー
髙橋 空良,SORA.T,37,39,42,later
西田 颯梓,SOSHI,64,65,67,ー
東野 蒼汰,SOTA,82,85,83,ー
藤牧 大雅,TAIGA.F,34,34,36,later
松田 太雅,TAIGA.M,30,32,35,later
金倉 拓未,TAKUMI,81,92,90,ー
岡本 拓士,TAKUTO.O,49,51,58,ー
熊部 拓斗,TAKUTO.K,12,9,9,later
宮里 拓利,TAKUTO.M,80,95,63,ー
南平 達矢,TATSUYA,43,47,41,later
森井 輝,TERU,100,89,96,ー
北林 天虎,TETORA,89,94,82,ー
藤芳 辰弥,TOKIYA,92,90,78,ー
増田 倫希,TOMOKI,76,80,73,ー
濱田 永遠,TOWA,16,16,15,later
アギナルド・トリスタン・ジェームス,TRISTAN,70,69,74,ー
リー・ウェイゼ,WEIZE,53,54,44,42
ヨハン・エマニュエル,YOHAN,78,70,54,ー
矢田 佳暉,YOSHIKI,1,3,4,later
後藤 結,YUKI,17,17,17,later
岡田 侑磨,YUMA,47,48,39,later
安部 結蘭,YURA,4,4,3,later
大林 悠成,YUSEI.O,24,22,24,later
佐野 由征,YUSEI.S,60,55,68,ー
板倉 悠太,YUTA,19,19,29,38
