名前,読み方,第1回_順位,第1回_GR枠,第1回_国民pt,第1回_SEKAIpt,第1回_総票,第2回_順位,第2回_GR枠,第2回_国民pt,第2回_SEKAIpt,第2回_総票,第3回_順位,第3回_GR枠,第3回_国民pt,第3回_SEKAIpt,第3回_総票
アダム・ナガイ,ADAM,10,8,749512,298131,1047949,21,,528431,242254,781051,19,,108155,45142,153301
中丸 晏寿,AJU,64,,,,,,,,,,,,,,
本荘 晃,AKIRA,56,,,,,,,,,,,,,,
オム・スアンカワーテン,AOM,81,,,,,,,,,,,,,,
アーチャー・ウイ,ARCHER,22,,418956,215873,635060,36,,,,,,,,,
児島 歩夢,AYUMU.K,94,,,,,,,,,,,,,,
篠ヶ谷 歩夢,AYUMU.S,32,,307665,135249,446330,33,,328398,219610,548293,33,,,,
小林 千悟,CHISATO,27,,342390,232804,578670,26,,247892,376913,675133,18,2,35536,120540,156082
市川 大輝,DAIKI.I,66,,,,,,,,,,,,,,
加藤 大樹,DAIKI.K,1,2,1296479,488603,1785492,1,2,1146156,517550,1674104,10,8,157868,67410,225289
カク・ドンミン,DONGMIN,37,,259411,113469,376311,39,,,,,,,,,
末川 瑛太,EITA,89,,,,,,,,,,,,,,
金田 栄都,EITO,57,,,,,,,,,,,,,,
櫻井 楓真,FUMA,62,,,,,,,,,,,,,,
小笠原 ジュゼッペ 慧,GIUSEPPE,28,,413742,149834,563977,29,,463370,167013,630774,31,,,,
倉橋 吾槙,GOTEN,11,,804763,120893,929221,28,,504118,158540,662973,20,,,,
村松 遼空,HARUKU,87,,,,,,,,,,,,,,
髙城 暖人,HARUTO,70,,,,,,,,,,,,,,
堀尾 聖,HIJIRI,55,,,,,,,,,,,,,,
平島 輝,HIKARU,53,,,,,,,,,,,,,,
瑞慶覧 太都,HIROTO,76,,,,,,,,,,,,,,
ユ・ヒョンスン,HYEONSEUNG,8,7,634710,426353,1061514,9,8,713383,393432,1107230,21,11,,,
岡田 彪吾,HYUGO,77,,,,,,,,,,,,,,
イ・ヒョンジェ,HYUNJAE,20,,491405,152334,644057,24,,537611,144126,692125,30,,,,
柳谷 伊冴,ISSA,19,,554421,93744,651675,11,,897550,175217,1073109,8,,191035,38565,229608
ユン・ジェヨン,JAEYONG,33,,224307,197307,422017,25,,458905,217900,687239,28,,,,
ジュアン・ジェイ,JAY,47,,146040,103620,249896,43,,,,,,,,,
丸尾 尋一郎,JINICHIRO,52,,,,,,,,,,,,,,
河邊 晟,JOE,99,,,,,,,,,,,,,,
シン・ジョンウク,JUNGUK,93,,,,,,,,,,,,,,
金安 純正,JUNSEI,50,,203906,31643,238966,44,,,,,,,,,
リュウ・カイチ,KAICHI,43,,199855,57688,260987,31,,479797,125347,605483,34,,,,
宇野 海夢,KAIMU,48,,215997,30000,248719,45,,,,,,,,,
多比 奏聖,KANADE,85,,,,,,,,,,,,,,
横山 奏夢,KANAME,21,,489111,147710,640295,23,,519064,179861,699278,25,,,,
黒﨑 貫汰,KANTA,69,,,,,,,,,,,,,,
関 敬次郎,KEIJIRO,94,,,,,,,,,,,,,,
黄 敬眞,KEISHIN,88,,,,,,,,,,,,,,
髙松 敬祐,KEISUKE,100,,,,,,,,,,,,,,
小野 慶人,KEITO,16,,577221,193555,771187,18,,638558,169107,807915,15,,126472,45080,171563
西山 賢人,KENTO,92,,,,,,,,,,,,,,
釼持 吉成,KINARI,2,6,1372025,392007,1764377,4,4,1045520,484313,1540221,辞退,,,,
河合 晃誠,KOSEI,75,,,,,,,,,,,,,,
青沼 昂史朗,KOSHIRO,26,,384186,203900,588448,19,11,439858,366617,806831,16,7,71328,91572,162917
照井 康祐,KOSUKE,7,10,981058,209766,1194391,3,7,1240023,340771,1591213,4,6,207714,67912,275646
浅香 孝太郎,KOTARO,18,,485986,188343,674618,17,,589934,166196,816533,26,,,,
髙谷 京平,KYOHEI,59,,,,,,,,,,,,,,
田中 蒔,MAKI,30,,454479,73019,531106,34,,454276,93291,547856,22,,,,
森 明育,MEI,45,,211739,40894,252911,50,,,,,,,,,
山根 武蔵,MUSASHI,79,,,,,,,,,,,,,,
土田 央修,OSUKE,13,,714427,166755,883587,12,12,776690,292015,1069057,13,,138751,46381,185153
堀野 蓮,REN.H,51,,,,,,,,,,,,,,
小清水 蓮,REN.KO,14,9,565502,297370,866339,20,10,361952,427809,790024,23,10,,,
小林 蓮翔,RENTO,80,,,,,,,,,,,,,,
チェン・リッキー,RICKEY,25,,480239,116014,596495,13,,869006,114547,1033947,7,,220740,27768,248522
神元 理丘,RIKU,65,,,,,,,,,,,,,,
鳩場 陸人,RIKUTO.H,97,,,,,,,,,,,,,,
今江 陸斗,RIKUTO.I,31,,410634,48771,462848,35,,468774,74999,544114,24,,,,
甲斐 陸也,RIKUYA,98,,,,,,,,,,,,,,
大瀬 凜和,RINTO,46,,198103,48609,250191,46,,,,,,,,,
水上 琉偉,RUI.M,72,,,,,,,,,,,,,,
上野 琉偉,RUI.U,101,,,,,,,,,,,,,,
飯塚 亮賀,RYOGA,12,,783434,142348,926196,8,,889505,231443,1121251,5,9,171106,63471,264597
石田 亮太,RYOTA,38,,285753,35288,324441,30,,411066,151893,613310,29,,,,
岡戸 竜芽,RYUGA,91,,,,,,,,,,,,,,
杉山 竜司,RYUJI,23,,517442,107469,627362,10,,876385,218560,1095325,12,,143840,50154,194003
香月 誠太,SEITA,71,,,,,,,,,,,,,,
澤井 星名,SENA,40,,235534,56097,291936,47,,,,,,,,,
オ・シンヘン,SHINHAENG,5,5,939330,472529,1412187,7,6,870135,443837,1314368,1,4,125315,89780,315128
岩城 慎二,SHINJI,60,,,,,,,,,,,,,,
宮崎 真佑,SHINSUKE,86,,,,,,,,,,,,,,
西﨑 柊,SHU.N,49,,178864,66133,248417,41,,,,,,,,,
山下 柊,SHU.Y,34,,251103,156737,410550,22,,493081,232878,726364,27,,,,
パク・シヨン,SIYOUNG,6,4,897732,513636,1411784,6,5,923286,506079,1429746,6,5,136731,86186,262940
松田 颯吾,SOGO,84,,,,,,,,,,,,,,
佐藤 碧空,SORA.S,61,,,,,,,,,,,,,,
髙橋 空良,SORA.T,42,,200773,64374,268589,49,,,,,,,,,
西田 颯梓,SOSHI,67,,,,,,,,,,,,,,
東野 蒼汰,SOTA,83,,,,,,,,,,,,,,
藤牧 大雅,TAIGA.F,36,,274222,102710,377259,42,,,,,,,,,
松田 太雅,TAIGA.M,35,,209257,194627,406263,37,,,,,,,,,
金倉 拓未,TAKUMI,90,,,,,,,,,,,,,,
熊部 拓斗,TAKUTO.K,9,12,904298,147917,1055661,15,,714472,152387,867204,11,,156572,38698,195293
宮里 拓利,TAKUTO.M,63,,,,,,,,,,,,,,
岡本 拓士,TAKUTO.O,58,,,,,,,,,,,,,,
南平 達矢,TATSUYA,41,,210577,60123,271044,48,,,,,,,,,
森井 輝,TERU,96,,,,,,,,,,,,,,
北林 天虎,TETORA,82,,,,,,,,,,,,,,
藤芳 辰弥,TOKIYA,78,,,,,,,,,,,,,,
増田 倫希,TOMOKI,73,,,,,,,,,,,,,,
濱田 永遠,TOWA,15,11,515483,268686,784543,14,9,599161,392724,1002279,14,,136405,46296,182709
アギナルド・トリスタン・ジェームス,TRISTAN,74,,,,,,,,,,,,,,
リー・ウェイゼ,WEIZE,44,,133326,120464,257224,40,,,,,,,,,
ヨハン・エマニュエル,YOHAN,54,,,,,,,,,,,,,,
矢田 佳暉,YOSHIKI,4,1,939786,590728,1530933,5,1,880055,588754,1469111,3,1,131167,150172,281371
後藤 結,YUKI,17,,493758,180964,677125,16,,660696,199470,860502,9,12,181124,46549,227684
岡田 侑磨,YUMA,39,,237995,63227,301538,32,,467238,126329,593937,17,,129567,19192,158771
安部 結蘭,YURA,3,3,1051560,501072,1553054,2,3,1028801,538718,1617904,2,3,201685,88061,309760
大林 悠成,YUSEI.O,24,,491658,123081,618187,27,,518578,141270,670275,32,,,,
佐野 由征,YUSEI.S,68,,,,,,,,,,,,,,
板倉 悠太,YUTA,29,,402896,156487,559733,38,,,,,,,,,
